3.9801,7.36534,0.283873,24.1667
8.94508,13.9912,0.492668,49.1667
13.9445,19.8624,0.769246,74.1667
18.3704,24.6376,1.03734,99.1667
6.4068,6.50797,0.302003,24.1667
12.436,11.695,0.508023,49.1667
18.0629,16.8388,0.712752,74.1667
24.2102,21.8767,0.926255,99.1667
6.30761,6.53815,0.289668,24.1667
12.3237,11.7738,0.507776,49.1667
18.1648,16.918,0.721728,74.1667
24.1067,21.7462,0.927109,99.1667
4.616593,2.755178,0.359059,24.1667
8.93963,6.844901,0.628654,49.1667
12.49263,9.484836,0.88283,74.1667
17.2995,10.9969,1.110153,99.1667
3.887458,1.660496,0.340298,24.1667
8.818767,13.67476,0.602221,49.1667
13.87994,19.7556,0.859039,74.1667
19.28487,24.50393,1.101341,99.1667
6.091331,2.42151,0.373033,24.1667
12.85815,4.42404,0.64479,49.1667
18.23102,6.23765,0.914568,74.1667
23.12022,7.41777,1.134331,99.1667
4.222993,3.4893,0.359059,24.1667
8.54693,6.41915,0.628528,49.1667
12.58342,9.36545,0.880846,74.1667
16.91126,10.89117,1.110153,99.1667
7.251625556,4.3129461,0.318159929,24.1667
13.58070786,8.6294733,0.582214615,49.1667
20.20582308,12.44189231,0.582214615,74.1667
25.69736214,15.56403636,1.084377857,99.1667
6.183832222,5.86185,0.3272196,24.1667
12.09713615,10.65799091,0.592972857,49.1667
18.317555,14.18305,0.847771286,74.1667
23.10438357,17.64449231,1.095605714,99.1667
